application_id,application_time,credit_score,annual_income,debt_to_income,employment_length,loan_amount,loan_purpose,home_ownership,number_of_delinquent_accounts,delinquent_months,months_since_last_delinquent,revolving_utilization,inquiries_last_6m,model_score,probability_of_default,risk_rating,application_status,actual_default,past_due_days,score_band,income_band,channel,notes
EC000132,46:27.6,743,,18.63,3.0,10694,credit_card,RENT,1,5,21,32.26,1,739.0,0.008403,LOW,APPROVED,0,0,700-800,75-100K,ONLINE,case-881105-740247
EC000133,2025-06-03 03:07:29,693,72337.0,25.51,,18584,home_improvement,MORTGAGE,0,0,0,38.8,2,652.0,0.073566,HIGH,APPROVED,0,0,600-700,50-75K,ONLINE,case-918330-036335
EC000134,2025-06-10 21:44:31,693,86486.0,14.51,6.0,48637,home_improvement,RENT,1,2,45,32.94,1,684.0,0.015376,LOW,APPROVED,0,0,600-700,75-100K,ONLINE,case-334471-531410
EC000135,2025-02-27 14:48:44,743,31213.0,42.33,,27852,major_purchase,OTHER,2,2,44,44.24,0,633.0,0.106905,HIGH,APPROVED,0,0,600-700,<50K,ONLINE,case-215878-531911
EC000136,46:27.6,785,123149.0,27.23,1.0,26157,credit_card,RENT,1,4,20,48.28,4,718.0,0.010015,LOW,APPROVED,0,0,700-800,100K+,ONLINE,case-711966-132538
EC000137,2025-02-25 20:58:47,535,,8.53,2.0,23280,other,RENT,0,0,0,55.17,2,604.0,0.178588,HIGH,APPROVED,0,0,600-700,50-75K,ONLINE,case-798893-707004
EC000138,2025-05-07 11:40:24,770,52333.0,7.59,6.0,18682,major_purchase,MORTGAGE,0,0,0,41.26,4,724.0,0.010689,LOW,APPROVED,0,0,700-800,50-75K,ONLINE,case-102570-517046
EC000139,2025-04-15 08:09:20,745,28242.0,16.6,10.0,13258,debt_consolidation,RENT,0,0,0,68.53,1,721.0,0.014935,LOW,APPROVED,0,0,700-800,<50K,ONLINE,case-543946-494124
EC000140,2025-01-18 02:05:30,674,51804.0,41.16,13.0,16672,credit_card,MORTGAGE,1,8,41,85.76,3,561.0,0.439527,VERY_HIGH,DECLINED,1,90,<600,50-75K,ONLINE,case-176982-268117
EC000141,46:27.6,755,39844.0,25.58,4.0,39436,debt_consolidation,RENT,2,3,53,52.44,1,666.0,0.037628,MEDIUM,APPROVED,0,0,600-700,<50K,ONLINE,case-584601-566881
EC000142,2025-05-28 12:12:29,685,98868.0,19.46,,17891,other,OWN,0,0,0,35.14,2,683.0,0.027902,MEDIUM,APPROVED,0,0,600-700,75-100K,ONLINE,case-756880-761507
EC000143,46:27.6,778,54280.0,34.1,1.0,64319,credit_card,OWN,0,0,0,67.02,2,709.0,0.008437,LOW,APPROVED,0,0,700-800,50-75K,ONLINE,case-295104-702918
EC000144,46:27.6,753,46149.0,32.01,15.0,55041,home_improvement,MORTGAGE,0,0,0,55.11,0,,0.008312,LOW,APPROVED,0,0,700-800,<50K,ONLINE,case-870685-162596
EC000145,2025-04-25 09:24:47,713,106938.0,20.4,11.0,15791,home_improvement,MORTGAGE,0,0,0,47.11,1,703.0,0.01563,MEDIUM,APPROVED,0,0,700-800,100K+,ONLINE,case-097110-729238
EC000146,2025-02-22 05:56:57,656,32941.0,25.64,0.0,11809,other,MORTGAGE,0,0,0,73.78,1,598.0,0.147286,HIGH,APPROVED,0,0,<600,<50K,ONLINE,case-191293-762676
EC000147,2025-06-04 12:06:34,695,36742.0,15.79,,7551,major_purchase,MORTGAGE,1,4,3,58.6,0,659.0,0.031475,MEDIUM,APPROVED,0,0,600-700,<50K,ONLINE,case-020390-155391
EC000148,2025-01-05 19:00:04,642,45831.0,11.62,,37945,credit_card,OWN,0,0,0,81.9,1,603.0,0.126216,HIGH,APPROVED,0,0,600-700,<50K,ONLINE,case-965337-936978
EC000149,2025-01-31 09:33:37,651,,15.37,4.0,13147,home_improvement,MORTGAGE,0,0,0,40.39,1,636.0,0.064421,HIGH,APPROVED,0,0,600-700,100K+,ONLINE,case-530094-700837
EC000150,2025-04-08 09:27:46,700,45150.0,37.43,20.0,16553,credit_card,OWN,0,0,0,24.9,1,642.0,0.07959,HIGH,APPROVED,0,0,600-700,<50K,ONLINE,case-806086-393260
EC000151,46:27.6,683,,15.16,6.0,43206,major_purchase,MORTGAGE,0,0,0,7.99,0,704.0,0.013696,LOW,APPROVED,0,0,700-800,50-75K,ONLINE,case-806736-166482
EC000152,46:27.6,653,46943.0,35.5,13.0,12555,credit_card,MORTGAGE,1,3,59,82.24,4,549.0,0.413847,VERY_HIGH,DECLINED,0,0,<600,<50K,ONLINE,case-664556-270826
EC000153,46:27.6,781,37169.0,5.51,,28528,debt_consolidation,MORTGAGE,1,5,21,38.11,0,768.0,0.002525,LOW,APPROVED,0,0,700-800,<50K,ONLINE,case-808883-391740
EC000154,2025-05-15 21:59:01,660,54636.0,8.72,2.0,21033,credit_card,RENT,1,4,17,30.57,2,685.0,-0.1,MEDIUM,APPROVED,0,0,600-700,50-75K,ONLINE,case-380096-259334
EC000155,2025-06-09 06:32:21,688,67959.0,34.89,3.0,11016,home_improvement,MORTGAGE,0,0,0,81.61,1,609.0,0.137644,HIGH,APPROVED,0,0,600-700,50-75K,ONLINE,case-324767-346418
EC000156,2025-04-06 05:59:53,690,33544.0,21.38,8.0,8975,credit_card,MORTGAGE,0,0,0,61.96,0,676.0,0.023872,MEDIUM,APPROVED,0,0,600-700,<50K,ONLINE,case-793939-644399
EC000157,2025-06-17 09:16:53,570,61842.0,20.67,,42397,credit_card,RENT,0,0,0,32.93,2,635.0,0.136093,HIGH,DECLINED,0,0,600-700,50-75K,ONLINE,case-349701-673203
EC000158,2025-04-07 17:00:46,834,21542.0,40.97,11.0,9891,debt_consolidation,RENT,1,4,16,42.1,1,716.0,0.008327,LOW,APPROVED,0,0,700-800,<50K,ONLINE,case-290780-884707
EC000159,46:27.6,658,39436.0,29.3,15.0,31308,other,RENT,0,0,0,16.86,0,627.0,0.109212,HIGH,APPROVED,0,0,600-700,<50K,ONLINE,case-734096-023038
EC000160,2025-02-09 11:16:35,731,90772.0,23.96,,20908,major_purchase,MORTGAGE,0,0,0,34.69,0,752.0,0.005149,LOW,APPROVED,0,0,700-800,75-100K,ONLINE,case-299121-192482
EC000161,2025-04-02 07:08:51,572,55578.0,30.44,16.0,16201,major_purchase,RENT,0,0,0,34.72,4,569.0,0.340833,VERY_HIGH,APPROVED,1,90,<600,50-75K,ONLINE,case-796901-898863
EC000162,2025-01-19 07:07:21,681,81994.0,13.72,19.0,33582,debt_consolidation,MORTGAGE,0,0,0,43.13,1,715.0,0.010003,LOW,APPROVED,0,0,700-800,75-100K,ONLINE,case-964290-782852
EC000163,2025-05-22 03:04:20,600,101608.0,19.43,11.0,9484,credit_card,OWN,0,0,0,55.02,1,607.0,0.20327,VERY_HIGH,APPROVED,0,0,600-700,100K+,ONLINE,case-201283-402522
EC000164,2025-05-10 15:57:49,662,83073.0,25.89,8.0,38804,credit_card,RENT,0,0,0,33.63,1,685.0,0.024006,MEDIUM,APPROVED,0,0,600-700,75-100K,ONLINE,case-214701-898013
EC000165,2025-03-10 20:40:47,760,72196.0,18.85,5.0,23176,debt_consolidation,RENT,0,0,0,66.15,0,714.0,0.013071,LOW,APPROVED,0,0,700-800,50-75K,ONLINE,case-361179-749421
EC000166,46:27.6,733,84742.0,28.88,1.0,7922,major_purchase,MORTGAGE,0,0,0,70.27,2,655.0,0.048718,HIGH,APPROVED,0,0,600-700,75-100K,ONLINE,case-014062-025122
EC000167,2025-06-12 08:41:19,724,65672.0,9.26,17.0,13470,credit_card,RENT,0,0,0,25.75,0,732.0,0.01045,LOW,APPROVED,0,0,700-800,50-75K,ONLINE,case-107195-273371
EC000168,2025-03-13 07:41:20,718,53123.0,41.41,1.0,45156,major_purchase,MORTGAGE,0,0,0,7.79,1,626.0,0.081481,HIGH,APPROVED,0,0,600-700,50-75K,ONLINE,case-315806-314049
EC000169,2025-01-05 17:10:07,593,86188.0,16.64,2.0,42334,home_improvement,MORTGAGE,0,0,0,39.84,2,,1.05,VERY_HIGH,APPROVED,0,0,<600,75-100K,ONLINE,case-662440-082480
EC000170,2025-02-27 18:40:24,627,75539.0,14.31,2.0,21557,major_purchase,MORTGAGE,1,6,42,12.16,0,634.0,0.067839,HIGH,APPROVED,0,0,600-700,75-100K,ONLINE,case-776295-215093
EC000171,46:27.6,720,67601.0,25.25,,15511,credit_card,RENT,0,0,0,0.0,0,752.0,0.003933,LOW,APPROVED,0,0,700-800,50-75K,ONLINE,case-644189-015328
EC000172,46:27.6,765,124401.0,29.82,12.0,78613,other,RENT,3,7,9,48.43,3,652.0,0.050149,HIGH,APPROVED,0,0,600-700,100K+,ONLINE,case-651031-204388
EC000173,2025-01-25 19:33:30,715,73155.0,15.84,3.0,22100,home_improvement,MORTGAGE,1,4,18,46.16,0,737.0,0.006266,LOW,APPROVED,0,0,700-800,50-75K,ONLINE,case-790178-528650
EC000174,2025-03-06 08:26:54,721,181057.0,21.93,8.0,82997,home_improvement,MORTGAGE,3,0,44,29.87,1,684.0,0.019988,MEDIUM,APPROVED,0,0,600-700,100K+,ONLINE,case-322264-909742
EC000175,2025-06-27 16:54:00,720,35234.0,19.17,,31098,home_improvement,OTHER,0,0,0,41.76,1,,0.022967,MEDIUM,APPROVED,0,0,600-700,<50K,ONLINE,case-604392-791285
EC000176,2025-04-09 07:52:51,728,,9.73,,13505,home_improvement,RENT,2,4,18,25.5,1,693.0,0.013099,LOW,APPROVED,0,0,600-700,75-100K,ONLINE,case-868937-967517
EC000177,2025-06-24 15:11:05,716,64779.0,21.76,2.0,30831,major_purchase,RENT,1,3,55,51.86,2,629.0,0.070254,HIGH,APPROVED,0,0,600-700,50-75K,ONLINE,case-117274-101419
EC000178,2025-02-23 06:20:25,629,98311.0,23.81,10.0,17721,home_improvement,MORTGAGE,0,0,0,0.0,1,624.0,0.097642,HIGH,DECLINED,0,0,600-700,75-100K,ONLINE,case-648553-255126
EC000179,2025-02-24 02:55:48,744,53255.0,25.27,2.0,10506,credit_card,MORTGAGE,1,3,22,49.06,2,691.0,0.016355,MEDIUM,APPROVED,0,0,600-700,50-75K,ONLINE,case-461719-450884
EC000180,2025-01-08 21:47:04,640,119504.0,18.57,0.0,41210,credit_card,MORTGAGE,1,4,47,29.23,1,639.0,0.060039,HIGH,APPROVED,0,0,600-700,100K+,ONLINE,case-462658-397370
EC000181,2025-06-18 04:00:19,609,111378.0,26.92,3.0,29445,home_improvement,MORTGAGE,0,0,0,29.11,2,598.0,0.165565,HIGH,APPROVED,0,0,<600,100K+,ONLINE,case-490647-378694
EC000182,2025-05-11 05:23:17,697,80607.0,21.52,23.0,16421,credit_card,MORTGAGE,1,2,35,42.09,0,672.0,0.026626,MEDIUM,DECLINED,0,0,600-700,75-100K,ONLINE,case-421680-209452
EC000183,46:27.6,617,,38.27,12.0,24970,other,RENT,0,0,0,11.65,2,,0.167875,HIGH,DECLINED,0,0,600-700,<50K,ONLINE,case-731505-825723
EC000184,2025-04-05 08:23:59,631,64558.0,22.27,,10657,major_purchase,OWN,1,4,34,38.1,1,597.0,0.22134,VERY_HIGH,DECLINED,0,0,<600,50-75K,ONLINE,case-328817-069937
EC000185,46:27.6,696,46320.0,26.64,2.0,15979,other,MORTGAGE,2,4,3,52.19,0,602.0,0.222317,VERY_HIGH,APPROVED,0,0,600-700,<50K,ONLINE,case-242345-439977
EC000186,2025-03-16 15:34:49,645,64967.0,26.86,12.0,41327,other,RENT,0,0,0,47.68,3,640.0,0.073932,HIGH,DECLINED,0,0,600-700,50-75K,ONLINE,case-516569-400724
EC000187,2025-01-17 22:24:21,641,,19.58,19.0,27240,home_improvement,OTHER,2,3,33,31.11,3,590.0,0.191066,VERY_HIGH,APPROVED,0,0,<600,<50K,ONLINE,case-793016-657856
EC000188,2025-04-26 05:17:36,715,37857.0,28.31,1.0,19032,major_purchase,RENT,0,0,0,57.93,1,651.0,0.041998,HIGH,DECLINED,0,60,600-700,<50K,ONLINE,case-837741-302844
EC000189,46:27.6,751,33946.0,36.7,8.0,17321,credit_card,RENT,2,5,49,0.0,0,689.0,0.015976,MEDIUM,APPROVED,0,0,600-700,<50K,ONLINE,case-224588-873335
EC000190,2025-05-12 13:53:49,730,96890.0,38.66,8.0,7604,other,OWN,1,7,46,49.14,1,,0.086641,HIGH,APPROVED,0,0,600-700,75-100K,ONLINE,case-383104-482495
EC000191,2025-05-25 14:53:06,739,70692.0,18.23,5.0,15792,major_purchase,MORTGAGE,1,1,40,79.77,1,678.0,0.032172,MEDIUM,APPROVED,0,0,600-700,50-75K,ONLINE,case-251642-794529
EC000192,46:27.6,608,32559.0,18.3,0.0,34263,other,MORTGAGE,0,0,0,8.42,2,656.0,0.072934,HIGH,APPROVED,0,0,600-700,<50K,ONLINE,case-006757-086034
EC000193,2025-05-13 09:36:37,726,56650.0,22.86,0.0,12878,debt_consolidation,RENT,0,0,0,54.06,0,695.0,-0.02,MEDIUM,APPROVED,0,0,600-700,50-75K,ONLINE,case-311495-996689
EC000194,2025-02-07 18:15:52,689,113174.0,25.1,,31491,credit_card,OWN,0,0,0,5.98,1,725.0,0.008709,LOW,APPROVED,0,0,700-800,100K+,ONLINE,case-267914-511740
EC000195,46:27.6,651,58868.0,13.12,8.0,47856,credit_card,RENT,1,2,35,74.47,1,611.0,0.08523,HIGH,DECLINED,0,0,600-700,50-75K,ONLINE,case-872637-784386
EC000196,2025-03-22 00:25:58,673,36280.0,9.67,4.0,10256,major_purchase,RENT,1,2,17,35.14,2,,0.025896,MEDIUM,APPROVED,0,0,600-700,<50K,ONLINE,case-226541-482167
EC000197,2025-04-13 07:19:47,669,47045.0,26.03,16.0,17600,home_improvement,MORTGAGE,0,0,0,75.59,4,599.0,0.160322,HIGH,APPROVED,0,0,<600,<50K,ONLINE,case-998365-980508
EC000198,2025-01-26 01:10:21,632,68602.0,23.05,2.0,21239,major_purchase,MORTGAGE,2,4,57,74.99,0,604.0,0.167307,HIGH,APPROVED,1,90,600-700,50-75K,ONLINE,case-085512-713919
EC000199,46:27.6,583,105907.0,26.03,,30497,home_improvement,RENT,1,3,50,65.16,2,558.0,0.349399,VERY_HIGH,DECLINED,1,90,<600,100K+,ONLINE,case-001193-603263
EC000200,2025-02-25 15:43:02,710,45359.0,33.18,8.0,31436,home_improvement,MORTGAGE,0,0,0,18.35,2,673.0,0.025945,MEDIUM,APPROVED,0,0,600-700,<50K,ONLINE,case-779317-911805
EC000201,2025-01-09 10:50:47,704,25552.0,10.82,,21781,credit_card,RENT,1,3,32,54.42,0,659.0,0.035921,MEDIUM,APPROVED,0,0,600-700,<50K,ONLINE,case-241588-854496
EC000202,2025-05-15 22:25:14,763,73293.0,25.73,1.0,6625,debt_consolidation,MORTGAGE,1,2,9,38.19,0,750.0,0.003606,LOW,APPROVED,0,0,700-800,50-75K,ONLINE,case-174504-737735
EC000203,2025-04-02 06:57:50,753,55932.0,36.52,1.0,8307,other,MORTGAGE,0,0,0,34.52,2,694.0,0.030239,MEDIUM,APPROVED,0,0,600-700,50-75K,ONLINE,case-945503-266350
EC000204,2025-04-08 07:50:36,700,30672.0,19.97,2.0,63235,debt_consolidation,OTHER,1,4,50,33.0,1,667.0,0.042985,HIGH,APPROVED,0,0,600-700,<50K,ONLINE,case-907540-138798
EC000205,2025-05-26 09:27:04,737,,21.64,4.0,17667,debt_consolidation,RENT,1,3,7,26.29,0,704.0,0.009878,LOW,APPROVED,0,0,700-800,<50K,ONLINE,case-309579-981511
EC000206,2025-04-12 08:05:05,775,50489.0,32.92,1.0,29925,debt_consolidation,RENT,1,3,43,41.18,1,704.0,0.013396,LOW,APPROVED,0,0,700-800,50-75K,ONLINE,case-450490-837992
EC000207,2025-05-19 06:57:58,652,30856.0,19.61,13.0,62148,home_improvement,RENT,0,0,0,42.66,1,588.0,0.217136,VERY_HIGH,DECLINED,0,0,<600,<50K,ONLINE,case-187008-292683
EC000208,2025-05-27 16:33:39,676,,12.45,8.0,13774,home_improvement,MORTGAGE,0,0,0,72.21,1,692.0,0.03214,MEDIUM,APPROVED,0,0,600-700,<50K,ONLINE,case-662756-745710
EC000209,2025-05-03 21:59:10,705,76718.0,36.01,1.0,24344,credit_card,RENT,2,7,8,52.86,0,613.0,0.089602,HIGH,APPROVED,0,0,600-700,75-100K,ONLINE,case-994249-940301
EC000210,2025-06-06 13:30:45,615,94007.0,4.42,7.0,11872,major_purchase,MORTGAGE,1,4,19,60.67,3,622.0,0.127938,HIGH,APPROVED,0,0,600-700,75-100K,ONLINE,case-077959-856046
EC000211,2025-06-22 07:44:29,630,,36.29,,16228,debt_consolidation,MORTGAGE,0,0,0,20.09,2,634.0,0.101291,HIGH,APPROVED,0,60,600-700,75-100K,ONLINE,case-007967-759302
EC000212,46:27.6,726,42552.0,29.65,12.0,15781,other,RENT,0,0,0,74.04,1,712.0,0.019967,MEDIUM,APPROVED,0,0,700-800,<50K,ONLINE,case-025504-700706
EC000213,2025-06-10 10:56:33,666,73230.0,14.61,2.0,24332,credit_card,MORTGAGE,2,3,9,45.7,0,661.0,0.064655,HIGH,APPROVED,0,0,600-700,50-75K,ONLINE,case-659443-603916
EC000214,2025-01-16 00:00:29,715,34469.0,18.15,,21614,debt_consolidation,RENT,2,5,21,55.96,1,704.0,0.013495,LOW,APPROVED,0,0,700-800,<50K,ONLINE,case-348500-999321
EC000215,46:27.6,684,84755.0,4.46,2.0,17550,major_purchase,OWN,2,3,46,25.58,2,674.0,0.020347,MEDIUM,APPROVED,1,90,600-700,75-100K,ONLINE,case-973982-789062
EC000216,2025-03-08 22:45:19,758,51145.0,23.22,1.0,10747,other,RENT,0,0,0,75.16,0,719.0,0.007476,LOW,APPROVED,0,0,700-800,50-75K,ONLINE,case-907770-643950
EC000217,2025-05-31 12:27:27,705,171943.0,31.57,1.0,31254,other,OWN,1,4,20,78.5,1,638.0,0.063632,HIGH,DECLINED,0,0,600-700,100K+,ONLINE,case-137894-294249
EC000218,2025-05-22 19:44:26,697,90461.0,21.23,0.0,17681,debt_consolidation,RENT,0,0,0,16.09,2,683.0,0.023176,MEDIUM,APPROVED,0,0,600-700,75-100K,ONLINE,case-977731-622662
EC000219,2025-04-22 04:37:44,675,88029.0,7.44,8.0,11052,credit_card,MORTGAGE,0,0,0,54.37,2,662.0,0.035074,MEDIUM,APPROVED,0,0,600-700,75-100K,ONLINE,case-892222-381051
EC000220,46:27.6,634,74003.0,22.44,1.0,13287,credit_card,OTHER,0,0,0,43.83,1,596.0,0.145824,HIGH,DECLINED,0,0,<600,50-75K,ONLINE,case-432340-927998
EC000221,46:27.6,605,121270.0,27.94,11.0,44395,credit_card,RENT,2,4,48,46.23,1,,0.399449,VERY_HIGH,DECLINED,1,60,<600,100K+,ONLINE,case-645481-207805
EC000222,2025-03-24 13:48:33,837,49399.0,24.11,4.0,27659,home_improvement,MORTGAGE,0,0,0,8.81,0,836.0,0.00047,LOW,APPROVED,0,0,800+,<50K,ONLINE,case-573816-139691
EC000223,2025-04-19 09:34:32,707,51247.0,15.87,1.0,35639,debt_consolidation,OTHER,0,0,0,21.25,1,702.0,0.013578,LOW,APPROVED,0,0,700-800,50-75K,ONLINE,case-567227-485423
EC000224,2025-04-22 17:30:58,747,42668.0,6.84,10.0,55862,debt_consolidation,RENT,0,0,0,83.7,2,713.0,0.009973,LOW,DECLINED,0,0,700-800,<50K,ONLINE,case-170680-154619
EC000225,46:27.6,641,80126.0,30.48,5.0,53217,credit_card,MORTGAGE,0,0,0,48.33,0,633.0,0.071845,HIGH,APPROVED,0,0,600-700,75-100K,ONLINE,case-878963-915950
EC000226,2025-06-11 16:38:44,716,44892.0,23.56,11.0,24187,debt_consolidation,RENT,0,0,0,94.59,1,652.0,0.040888,MEDIUM,APPROVED,0,30,600-700,<50K,ONLINE,case-077191-811341
EC000227,46:27.6,711,,17.39,12.0,18623,major_purchase,OTHER,1,3,13,59.71,3,666.0,0.069864,HIGH,APPROVED,0,0,600-700,50-75K,ONLINE,case-857865-058886
EC000228,2025-02-17 08:46:26,642,75400.0,30.48,12.0,44386,other,OTHER,0,0,0,41.44,0,623.0,0.098085,HIGH,APPROVED,0,0,600-700,75-100K,ONLINE,case-025951-594840
EC000229,46:27.6,801,118605.0,30.61,,10568,credit_card,OTHER,2,6,22,37.45,1,705.0,0.011901,LOW,APPROVED,0,0,700-800,100K+,ONLINE,case-743700-425691
EC000230,2025-01-10 12:55:45,772,25309.0,12.28,4.0,18170,debt_consolidation,MORTGAGE,0,0,0,50.31,0,772.0,0.003557,LOW,APPROVED,0,60,700-800,<50K,ONLINE,case-881862-845146
EC000231,46:27.6,681,,29.96,,11163,credit_card,MORTGAGE,0,0,0,60.22,1,650.0,0.051319,HIGH,DECLINED,0,0,600-700,<50K,ONLINE,case-912225-464080
EC000232,2025-03-25 05:36:11,751,100836.0,41.09,,18189,credit_card,RENT,0,0,0,47.63,3,670.0,0.036278,MEDIUM,APPROVED,0,0,600-700,100K+,ONLINE,case-623899-652962
EC000233,46:27.6,755,157489.0,36.71,8.0,12674,credit_card,MORTGAGE,0,0,0,56.87,2,,0.008745,LOW,APPROVED,0,0,700-800,100K+,ONLINE,case-134908-577328
EC000234,2025-04-16 23:35:17,723,73105.0,22.05,6.0,9621,debt_consolidation,MORTGAGE,0,0,0,66.29,3,651.0,0.049906,HIGH,APPROVED,0,0,600-700,50-75K,ONLINE,case-471433-865444
EC000235,2025-06-25 13:19:33,720,64822.0,12.04,10.0,43848,other,RENT,0,0,0,15.79,5,,0.007606,LOW,APPROVED,0,0,700-800,50-75K,ONLINE,case-305188-168712
EC000236,46:27.6,698,55127.0,21.59,22.0,7561,major_purchase,RENT,1,3,30,31.92,0,702.0,0.016959,MEDIUM,APPROVED,0,0,700-800,50-75K,ONLINE,case-998890-663474
EC000237,46:27.6,691,98426.0,43.16,,10411,major_purchase,OWN,0,0,0,31.67,1,676.0,0.048204,HIGH,APPROVED,0,0,600-700,75-100K,ONLINE,case-037302-556016
EC000238,2025-05-24 23:40:15,611,62535.0,38.14,8.0,17939,home_improvement,RENT,0,0,0,44.76,2,559.0,0.40743,VERY_HIGH,DECLINED,0,0,<600,50-75K,ONLINE,case-587881-050581
EC000239,2025-04-01 06:21:21,667,40705.0,7.54,13.0,33105,home_improvement,RENT,2,3,23,78.67,0,666.0,0.040782,MEDIUM,DECLINED,0,0,600-700,<50K,ONLINE,case-288886-294841
EC000240,46:27.6,716,103911.0,44.28,5.0,21528,credit_card,RENT,0,0,0,35.66,0,,0.030438,MEDIUM,APPROVED,0,0,600-700,100K+,ONLINE,case-272006-462483
EC000241,2025-01-12 08:28:19,676,40772.0,17.65,2.0,23193,home_improvement,MORTGAGE,1,7,7,56.61,0,658.0,0.060873,HIGH,APPROVED,0,0,600-700,<50K,ONLINE,case-092315-018107
EC000242,2025-04-22 09:01:13,751,,27.42,7.0,44273,credit_card,RENT,0,0,0,77.09,1,664.0,0.031872,MEDIUM,APPROVED,0,0,600-700,50-75K,ONLINE,case-149262-533974
EC000243,46:27.6,696,61254.0,18.2,,15621,other,RENT,1,2,10,1.26,3,682.0,0.020758,MEDIUM,APPROVED,0,0,600-700,50-75K,ONLINE,case-756809-420464
EC000244,2025-01-15 09:53:46,644,39188.0,19.38,7.0,19768,debt_consolidation,RENT,0,0,0,31.66,1,659.0,0.041732,HIGH,APPROVED,1,60,600-700,<50K,ONLINE,case-584253-256807
EC000245,46:27.6,621,63903.0,26.31,1.0,8107,home_improvement,MORTGAGE,1,3,17,55.48,2,600.0,0.237269,VERY_HIGH,DECLINED,1,90,600-700,50-75K,ONLINE,case-377333-097549
EC000246,46:27.6,639,51368.0,24.94,11.0,5623,debt_consolidation,OWN,1,4,48,43.53,1,585.0,0.19264,VERY_HIGH,DECLINED,0,0,<600,50-75K,ONLINE,case-744271-296372
EC000247,2025-04-07 10:12:35,688,92859.0,12.47,8.0,31955,credit_card,MORTGAGE,0,0,0,38.43,3,653.0,0.045645,HIGH,APPROVED,0,0,600-700,75-100K,ONLINE,case-239090-828282
EC000248,46:27.6,678,108196.0,23.92,9.0,14407,debt_consolidation,RENT,1,7,56,27.7,2,646.0,0.057831,HIGH,APPROVED,0,30,600-700,100K+,ONLINE,case-556554-655918
EC000249,2025-05-29 12:51:47,540,80030.0,17.54,2.0,24253,debt_consolidation,MORTGAGE,0,0,0,39.27,3,556.0,0.41494,VERY_HIGH,DECLINED,1,60,<600,75-100K,ONLINE,case-606187-144322
EC000250,2025-03-22 14:24:40,720,90587.0,21.41,1.0,19751,major_purchase,MORTGAGE,0,0,0,34.42,1,725.0,0.008614,LOW,APPROVED,0,0,700-800,75-100K,ONLINE,case-126766-367052
EC000251,46:27.6,778,76881.0,22.2,5.0,7995,credit_card,RENT,0,0,0,43.51,1,753.0,0.003547,LOW,APPROVED,0,0,700-800,75-100K,ONLINE,case-929872-217989
EC000252,46:27.6,652,26826.0,13.98,,34583,major_purchase,MORTGAGE,2,1,35,45.16,0,,0.070372,HIGH,APPROVED,0,0,600-700,<50K,ONLINE,case-334827-551856
EC000253,46:27.6,716,43021.0,21.9,19.0,7064,other,MORTGAGE,1,1,24,62.9,2,653.0,0.043054,HIGH,APPROVED,0,0,600-700,<50K,ONLINE,case-096431-759531
EC000254,46:27.6,648,63989.0,34.42,7.0,9353,major_purchase,RENT,3,2,11,50.07,0,628.0,0.15476,HIGH,APPROVED,0,0,600-700,50-75K,ONLINE,case-192195-111787
EC000255,46:27.6,762,56722.0,28.02,,23571,debt_consolidation,RENT,0,0,0,67.18,2,693.0,0.02008,MEDIUM,APPROVED,0,0,600-700,50-75K,ONLINE,case-594844-460841
EC000256,46:27.6,646,87416.0,17.07,20.0,53934,other,MORTGAGE,0,0,0,33.82,1,,0.022131,MEDIUM,APPROVED,0,0,600-700,75-100K,ONLINE,case-717410-772039
EC000257,2025-04-17 18:19:28,680,46827.0,22.89,1.0,28517,major_purchase,RENT,2,2,10,71.0,2,,0.18354,HIGH,APPROVED,0,0,<600,<50K,ONLINE,case-445611-990864
EC000258,2025-01-19 18:00:16,769,113330.0,22.65,9.0,15156,home_improvement,MORTGAGE,1,9,49,46.39,1,711.0,0.012707,LOW,APPROVED,0,0,700-800,100K+,ONLINE,case-155969-733697
EC000259,46:27.6,741,47884.0,22.15,1.0,17067,home_improvement,MORTGAGE,1,1,48,80.01,2,668.0,0.026059,MEDIUM,APPROVED,0,0,600-700,<50K,ONLINE,case-715889-134996
EC000260,2025-06-25 05:13:13,673,32719.0,12.58,27.0,13769,credit_card,OTHER,0,0,0,57.13,0,686.0,0.015272,LOW,APPROVED,0,0,600-700,<50K,ONLINE,case-766890-025872
EC000261,46:27.6,758,73959.0,21.59,1.0,17068,major_purchase,MORTGAGE,0,0,0,39.31,1,724.0,0.010311,LOW,APPROVED,0,0,700-800,50-75K,ONLINE,case-519998-594721
EC000262,2025-03-10 22:43:57,725,48555.0,26.65,,30633,credit_card,OTHER,2,6,27,46.08,0,,0.040785,MEDIUM,APPROVED,0,0,600-700,<50K,ONLINE,case-351345-241707
EC000263,2025-02-23 22:02:44,749,56435.0,14.94,,12018,debt_consolidation,MORTGAGE,1,3,36,100.0,0,656.0,0.036209,MEDIUM,APPROVED,0,0,600-700,50-75K,ONLINE,case-714533-536119
EC000264,2025-02-10 23:01:17,775,125526.0,4.56,2.0,58715,debt_consolidation,MORTGAGE,1,3,32,8.46,3,774.0,0.001322,LOW,APPROVED,0,0,700-800,100K+,ONLINE,case-209936-387421
EC000265,2025-05-05 10:48:08,780,,32.63,4.0,26908,credit_card,RENT,0,0,0,36.81,0,748.0,0.005427,LOW,APPROVED,0,0,700-800,75-100K,ONLINE,case-089520-413901
